"Adjusted P value","ID","Description","A & B","A","B","U"
"2.49704838993337e-53","GO:0005622","intracellular anatomical structure","397","1023","1907","10021"
"2.70228095883807e-22","GO:0005575","cellular_component","454","1023","3025","10021"
"1.27035675777252e-07","GO:0008152","metabolic process","596","1023","4962","10021"
"1.4271312867745e-12","GO:0003676","nucleic acid binding","238","1023","1483","10021"
"0.0261181382807533","GO:0097159","organic cyclic compound binding","401","1023","3476","10021"
"0.0259642336534285","GO:1901363","heterocyclic compound binding","401","1023","3475","10021"
"1.46801994862797e-134","GO:0006412","translation","240","1023","408","10021"
"1.13417149300532e-125","GO:0005840","ribosome","197","1023","293","10021"
"1.09496142880186e-10","GO:0015935","small ribosomal subunit","16","1023","21","10021"
"9.77599941091632e-29","GO:0003723","RNA binding","105","1023","310","10021"
"7.69168961083387e-125","GO:0003735","structural constituent of ribosome","196","1023","292","10021"
"5.1326564697905e-131","GO:0006518","peptide metabolic process","242","1023","427","10021"
"1.36405999469308e-62","GO:0006807","nitrogen compound metabolic process","407","1023","1848","10021"
"2.23714957269679e-43","GO:0009058","biosynthetic process","344","1023","1667","10021"
"4.30279275797158e-57","GO:0009059","macromolecule biosynthetic process","293","1023","1135","10021"
"9.74094755286017e-14","GO:0009987","cellular process","551","1023","4225","10021"
"3.59275997780263e-69","GO:0010467","gene expression","315","1023","1148","10021"
"1.00180092865405e-37","GO:0019538","protein metabolic process","344","1023","1761","10021"
"2.3487099554126e-67","GO:0034641","cellular nitrogen compound metabolic process","388","1023","1650","10021"
"1.91651061909769e-57","GO:0034645","cellular macromolecule biosynthetic process","293","1023","1131","10021"
"1.83779558182055e-132","GO:0043043","peptide biosynthetic process","240","1023","415","10021"
"1.55846760037632e-30","GO:0043170","macromolecule metabolic process","443","1023","2710","10021"
"1.54190702734501e-126","GO:0043603","cellular amide metabolic process","245","1023","453","10021"
"2.29107527300174e-130","GO:0043604","amide biosynthetic process","243","1023","433","10021"
"8.57086801452077e-25","GO:0044237","cellular metabolic process","497","1023","3337","10021"
"9.15413010900788e-21","GO:0044238","primary metabolic process","516","1023","3635","10021"
"3.28130053737659e-50","GO:0044249","cellular biosynthetic process","341","1023","1544","10021"
"2.07698830982082e-32","GO:0044260","cellular macromolecule metabolic process","416","1023","2439","10021"
"3.35040155841024e-40","GO:0044267","cellular protein metabolic process","315","1023","1505","10021"
"5.38436850989081e-58","GO:0044271","cellular nitrogen compound biosynthetic process","301","1023","1176","10021"
"1.27678736894771e-20","GO:0071704","organic substance metabolic process","535","1023","3817","10021"
"2.54977678449048e-85","GO:1901564","organonitrogen compound metabolic process","297","1023","906","10021"
"1.63748099451545e-106","GO:1901566","organonitrogen compound biosynthetic process","282","1023","696","10021"
"4.93939575965001e-48","GO:1901576","organic substance biosynthetic process","341","1023","1575","10021"
"2.01106011184892e-87","GO:0005737","cytoplasm","298","1023","896","10021"
"6.57407077665345e-66","GO:0032991","protein-containing complex","256","1023","828","10021"
"4.76464363153421e-65","GO:0043226","organelle","298","1023","1084","10021"
"1.5462139090657e-101","GO:0043228","non-membrane-bounded organelle","212","1023","416","10021"
"4.76464363153421e-65","GO:0043229","intracellular organelle","298","1023","1084","10021"
"1.5462139090657e-101","GO:0043232","intracellular non-membrane-bounded organelle","212","1023","416","10021"
"1.49137813666668e-20","GO:0044391","ribosomal subunit","31","1023","42","10021"
"1.70914311507411e-108","GO:0005198","structural molecule activity","198","1023","341","10021"
"0.00887799715186625","GO:0006520","cellular amino acid metabolic process","43","1023","244","10021"
"0.0314148754963449","GO:1901360","organic cyclic compound metabolic process","167","1023","1317","10021"
"0.000406611793837083","GO:0044085","cellular component biogenesis","35","1023","159","10021"
"0.000551217955455109","GO:0071840","cellular component organization or biogenesis","52","1023","279","10021"
"0.00614036569191386","GO:0006139","nucleobase-containing compound metabolic process","156","1023","1169","10021"
"0.0261181382807533","GO:0006725","cellular aromatic compound metabolic process","164","1023","1282","10021"
"0.0104559572197298","GO:0046483","heterocycle metabolic process","167","1023","1280","10021"
"0.043151529341468","GO:0090304","nucleic acid metabolic process","125","1023","955","10021"
"0.00496457470729826","GO:0003924","GTPase activity","22","1023","93","10021"
"0.0353785536944809","GO:0019001","guanyl nucleotide binding","31","1023","173","10021"
"2.6470696039083e-07","GO:0006418","tRNA aminoacylation for protein translation","21","1023","50","10021"
"7.8485127455986e-10","GO:0004812","aminoacyl-tRNA ligase activity","25","1023","54","10021"
"2.15461112155063e-07","GO:0006399","tRNA metabolic process","27","1023","77","10021"
"6.10760261458858e-12","GO:0034660","ncRNA metabolic process","41","1023","113","10021"
"2.6470696039083e-07","GO:0043038","amino acid activation","21","1023","50","10021"
"2.6470696039083e-07","GO:0043039","tRNA aminoacylation","21","1023","50","10021"
"2.14217740773947e-05","GO:0016874","ligase activity","41","1023","178","10021"
"7.8485127455986e-10","GO:0016875","ligase activity, forming carbon-oxygen bonds","25","1023","54","10021"
"2.4579524171139e-09","GO:0015934","large ribosomal subunit","15","1023","21","10021"
"0.00894302694742735","GO:0005739","mitochondrion","22","1023","97","10021"
"0.0314148754963449","GO:0005740","mitochondrial envelope","18","1023","81","10021"
"0.00829361512073247","GO:0031967","organelle envelope","21","1023","90","10021"
"0.0303187875543392","GO:0031975","envelope","21","1023","100","10021"
"1.196323026923e-14","GO:0006414","translational elongation","23","1023","32","10021"
"1.31722008454744e-07","GO:0006396","RNA processing","38","1023","133","10021"
"0.0132571455299069","GO:0003743","translation initiation factor activity","10","1023","29","10021"
"1.24064621971778e-08","GO:0008135","translation factor activity, RNA binding","25","1023","60","10021"
"0.016576985869822","GO:0006189","'de novo' IMP biosynthetic process","4","1023","5","10021"
"0.0389913466231204","GO:0006164","purine nucleotide biosynthetic process","13","1023","51","10021"
"0.00262117524780781","GO:0006188","IMP biosynthetic process","5","1023","6","10021"
"0.00262117524780781","GO:0046040","IMP metabolic process","5","1023","6","10021"
"0.0372344256873722","GO:0072522","purine-containing compound biosynthetic process","15","1023","63","10021"
"1.04699510119313e-05","GO:0019843","rRNA binding","11","1023","18","10021"
"0.0121737485436329","GO:0005741","mitochondrial outer membrane","7","1023","15","10021"
"0.000144728525465504","GO:0019867","outer membrane","11","1023","22","10021"
"0.00298930416841225","GO:0031968","organelle outer membrane","8","1023","16","10021"
"0.0233145140470231","GO:0034062","5'-3' RNA polymerase activity","12","1023","42","10021"
"0.0121737485436329","GO:0003899","DNA-directed 5'-3' RNA polymerase activity","12","1023","39","10021"
"0.0303483857039201","GO:0009451","RNA modification","11","1023","38","10021"
"9.25900033867462e-05","GO:0034470","ncRNA processing","18","1023","52","10021"
"6.81576567666567e-05","GO:0016072","rRNA metabolic process","15","1023","37","10021"
"0.0303483857039201","GO:0008097","5S rRNA binding","3","1023","3","10021"
"0.000687803944676097","GO:0098798","mitochondrial protein-containing complex","10","1023","21","10021"
"3.79162899833502e-06","GO:0006364","rRNA processing","14","1023","27","10021"
"4.7719726852718e-14","GO:0042254","ribosome biogenesis","28","1023","49","10021"
"9.55225209121943e-14","GO:0022613","ribonucleoprotein complex biogenesis","28","1023","50","10021"
"0.00260338122472012","GO:0009082","branched-chain amino acid biosynthetic process","7","1023","12","10021"
"0.00440887847832557","GO:0032040","small-subunit processome","4","1023","4","10021"
"0.016576985869822","GO:0030684","preribosome","4","1023","5","10021"
"0.00440887847832557","GO:0004579","dolichyl-diphosphooligosaccharide-protein glycotransferase activity","4","1023","4","10021"
"5.85468883516107e-05","GO:0004576","oligosaccharyl transferase activity","6","1023","6","10021"
"0.00440887847832557","GO:0006626","protein targeting to mitochondrion","7","1023","13","10021"
"0.0121737485436329","GO:0006839","mitochondrial transport","7","1023","15","10021"
"0.00440887847832557","GO:0007005","mitochondrion organization","7","1023","13","10021"
