"Adjusted P value","ID","Description","A & B","A","B","U"
"1.03903831314761e-06","GO:0016491","oxidoreductase activity","65","349","848","10021"
"0.00261263980049823","GO:0008152","metabolic process","214","349","4962","10021"
"0.0205557825362947","GO:0008150","biological_process","254","349","6305","10021"
"1.03903831314761e-06","GO:0003824","catalytic activity","219","349","4672","10021"
"0.00163257428676026","GO:0044281","small molecule metabolic process","48","349","677","10021"
"0.0237290945171321","GO:1901605","alpha-amino acid metabolic process","16","349","150","10021"
"0.0267207102880937","GO:0008299","isoprenoid biosynthetic process","7","349","33","10021"
"0.0267207102880937","GO:0006720","isoprenoid metabolic process","7","349","33","10021"
"0.0237290945171321","GO:0005975","carbohydrate metabolic process","32","349","443","10021"
"0.0267207102880937","GO:0006081","cellular aldehyde metabolic process","6","349","23","10021"
"0.0205557825362947","GO:0009611","response to wounding","3","349","3","10021"
"0.0241492650046076","GO:0006563","L-serine metabolic process","6","349","22","10021"
"0.00256183572656626","GO:0009069","serine family amino acid metabolic process","8","349","28","10021"
