"Locus_ID"	"Description"	"Oryzabase.Gene.Symbol.Synonym.s."
"Os01g0141600"	"Protein of unknown function DUF647 family protein."	"OsRUS5"
"Os01g0168500"	"WD40 repeat-like domain containing protein."	"OsATG18b, OsWD40-3"
"Os01g0186200"	"Similar to Phototropin."	"-"
"Os01g0194300"	"Ankyrin-repeat protein, Herbivore-induced defense response, Blast disease resistance"	"OsNH1, OsNPR1, OsNPR1/NH1, NPR1, OsPR2, PR2"
"Os01g0507900"	"Similar to NClpP3 (ATP-dependent Clp protease proteolytic subunit ClpP3)."	"OsClpP3, OsClp2, CLP2"
"Os01g0600400"	"Pentatricopeptide repeat domain containing protein."	"-"
"Os01g0678100"	"Protein of unknown function DUF2921 domain containing protein."	"-"
"Os01g0739400"	"Similar to predicted protein."	"-"
"Os01g0918100"	"Conserved hypothetical protein."	"-"
"Os02g0116000"	"Zinc finger, C2H2 domain containing protein."	"-"
"Os02g0287900"	"Cyclin-like F-box domain containing protein."	"OsFbox080, OsFbox80, Os_F0533"
"Os02g0577900"	"Conserved hypothetical protein."	"-"
"Os03g0118600"	"Similar to dihydrodipicolinate reductase."	"-"
"Os03g0168800"	"Hypothetical conserved gene."	"-"
"Os03g0225500"	"Nucleoporin, Common symbiosis signaling (SYM) pathway"	"NUP133"
"Os03g0267600"	"Protein of unknown function DUF3527 domain containing protein."	"-"
"Os03g0284500"	"HAD-superfamily subfamily IIA hydrolase, CECR5 protein."	"-"
"Os03g0327800"	"NAC Family transcriptional activator, Abiotic stress response, Positive regulator of leaf senescence"	"OsNAP, ONAC058, ONAC58, PS1"
"Os03g0425300"	"Similar to DGK1 (DIACYLGLYCEROL KINASE1); calcium ion binding / diacylglycerol kinase."	"-"
"Os03g0722700"	"Conserved hypothetical protein."	"-"
"Os03g0833700"	"RNA 3'-terminal phosphate cyclase family protein."	"-"
"Os04g0544900"	"Alg9-like mannosyltransferase family protein."	"-"
"Os05g0322900"	"Similar to WRKY transcription factor 45."	"OsWRKY45"
"Os05g0507300"	"Similar to Calreticulin-3."	"-"
"Os06g0120200"	"Protein of unknown function DUF594 family protein."	"-"
"Os06g0602600"	"Alba, DNA/RNA-binding protein family protein."	"-"
"Os06g0622700"	"bZIP transcription factor, Endoplasmic reticulum stress response"	"OsbZIP60, bZIP50, OsbZIP50, OsbZIP74, OsbZIP50-S"
"Os06g0671600"	"Beta tubulin, autoregulation binding site domain containing protein."	"OsSAUR26"
"Os06g0705100"	"Similar to Thylakoid lumenal 13.3 kDa protein (P16.5) (Fragment)."	"-"
"Os06g0705300"	"Pentatricopeptide repeat domain containing protein."	"-"
"Os06g0706400"	"PTR/NRT1 (peptide transporter/nitrate transporter 1) family protein, Nitrogen utilization efficiency, growth and grain yield"	"OsPTR9 OsNPF8.20, NPF8.20"
"Os06g0729800"	"Hypothetical gene."	"OsIPT10"
"Os07g0134500"	"Similar to hydrolase/ protein serine/threonine phosphatase."	"-"
"Os07g0249200"	"Similar to Vesicle-associated membrane protein 724 (AtVAMP724) (SYBL1-like protein)."	"-"
"Os07g0556200"	"Rieske [2Fe-2S] region domain containing protein."	"PetC"
"Os07g0605200"	"APETALA1 (AP1)/ FRUITFULL (FUL)-like MADS box transcription factor, Specification of inflorescence meristem identity"	"OsMADS18, MADS2, OsMADS2, MADS28, OsMADS28, FDRMADS7, OsMADS18/28"
"Os07g0669900"	"Non-protein coding transcript."	"-"
"Os07g0681500"	"Ankyrin repeat containing protein."	"OsMED5_3, MED5_3"
"Os08g0135300"	"Conserved hypothetical protein."	"-"
"Os08g0206600"	"Similar to AICARFT/IMPCHase bienzyme family protein."	"-"
"Os08g0411200"	"Methyltransferase type 11 domain containing protein."	"-"
"Os08g0509400"	"Similar to Amygdalin hydrolase isoform AH I precursor (EC 3.2.1.117)."	"Os8bglu28, OsBGlu28"
"Os09g0135400"	"Similar to octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein."	"-"
"Os09g0278900"	"Non-protein coding transcript."	"-"
"Os09g0503100"	"Similar to Quinone-oxidoreductase QR1 (Fragment)."	"-"
"Os10g0180000"	"NpGUT1 homolog."	"OsGUT1, GUT1"
"Os10g0396300"	"Similar to MOB1."	"-"
"Os10g0469700"	"Leucine-rich repeat, typical subtype containing protein."	"-"
"Os10g0522900"	"Isopenicillin N synthase family protein."	"-"
"Os11g0433600"	"Tetratricopeptide-like helical domain containing protein."	"-"
"Os11g0438400"	"Hypothetical conserved gene."	"-"
"Os11g0448400"	"RNA polymerase sigma factor, region 2 domain containing protein."	"OsSIG2A, OsSig2A"
"Os12g0113500"	"Similar to CBL-interacting protein kinase 14."	"OsCIPK14"
"Os12g0131100"	"Similar to Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (Hexosephosphate aminotransferase) (D-fructose-6- phosphate amidotransferase) (GFAT)."	"-"
